Rank,Team,Score,Buchholz,MapDiff,H2H Score,H2D MapDiff,Cumulative,Seed
1,四川大学,5.0,17.0,12,0,0,15.0,6
2,中国传媒大学,5.0,16.0,14,0,0,15.0,3
3,杭州电子科技大学,4.0,17.0,8,0,0,14.0,48
4,广东工业大学,4.0,16.0,9,0,0,12.0,53
5,中国地质大学（武汉）,4.0,16.0,7,0,0,14.0,39
6,北京理工大学,4.0,16.0,7,0,0,12.0,7
7,北京城市学院,4.0,14.0,9,0,0,11.0,1
8,南京邮电大学,4.0,14.0,8,0,0,10.0,8
9,上海交通大学一队,4.0,14.0,7,0,0,13.0,5
10,华南理工大学,4.0,14.0,5,0,0,12.0,10
11,南京林业大学,4.0,13.0,9,0,0,12.0,59
12,山东大学,3.0,17.0,2,0,0,12.0,25
13,西北工业大学,3.0,16.0,0,0,0,10.0,42
14,中国海洋大学,3.0,15.0,5,0,0,9.0,46
15,武汉理工大学,3.0,15.0,4,0,0,9.0,15
16,中国民用航空飞行学院一队,3.0,15.0,4,0,0,9.0,17
17,浙江水利水电学院,3.0,15.0,2,0,0,9.0,55
18,吉林大学,3.0,15.0,0,0,0,12.0,35
19,浙江大学,3.0,14.0,5,0,0,10.0,9
20,上海第二工业大学,3.0,14.0,4,0,0,11.0,29
21,华东理工大学,3.0,14.0,3,0,0,10.0,47
22,电子科技大学一队,3.0,14.0,2,0,0,12.0,12
23,安徽大学,3.0,14.0,0,0,0,9.0,43
24,桂林电子科技大学,3.0,13.0,2,0,0,7.0,60
25,华中科技大学,3.0,12.0,3,0,0,9.0,4
26,电子科技大学二队,3.0,12.0,2,0,0,9.0,45
27,广东财经大学,3.0,12.0,0,0,0,8.0,41
28,武汉大学,3.0,11.0,6,0,0,8.0,22
29,长安大学一队,3.0,9.0,3,0,0,8.0,40
30,同济大学二队,3.0,9.0,0,0,0,6.0,36
31,清华大学,2.0,15.0,-1,0,0,7.0,13
32,兰州大学,2.0,14.0,-3,0,0,7.0,51
33,北京航空航天大学,2.0,14.0,-4,0,0,7.0,24
34,华东师范大学一队,2.0,13.0,0,0,0,9.0,23
35,华东师范大学二队,2.0,13.0,-1,0,0,6.0,33
36,西南大学,2.0,12.0,-1,0,0,3.0,14
37,电子科技大学四队,2.0,12.0,-2,0,0,4.0,58
38,中山大学,2.0,12.0,-4,0,0,7.0,38
39,安徽师范大学,2.0,12.0,-5,0,0,6.0,44
40,电子科技大学三队,2.0,12.0,-5,0,0,5.0,54
41,北京科技大学,2.0,11.0,1,0,0,5.0,26
42,同济大学一队,2.0,11.0,-1,0,0,6.0,16
43,南开大学,2.0,11.0,-2,0,0,6.0,19
44,厦门大学,2.0,11.0,-2,0,0,4.0,57
45,西安电子科技大学,2.0,11.0,-3,0,0,6.0,49
46,上海大学,2.0,10.0,-5,0,0,5.0,28
47,上海交通大学二队,2.0,9.0,-2,0,0,6.0,34
48,北京信息科技大学,2.0,9.0,-3,0,0,6.0,50
49,西南财经大学,2.0,7.0,-1,0,0,3.0,37
50,北京工商大学,1.0,13.0,-9,0,0,4.0,20
51,西交利物浦大学,1.0,11.0,-7,0,0,3.0,18
52,南京师范大学,1.0,11.0,-9,0,0,5.0,30
53,北京大学,1.0,11.0,-9,0,0,2.0,52
54,阜阳师范大学,1.0,11.0,-10,0,0,4.0,32
55,大连理工大学,1.0,10.0,-9,0,0,2.0,2
56,重庆大学,1.0,9.0,-5,0,0,3.0,11
57,中国民用航空飞行学院二队,1.0,7.0,-9,0,0,1.0,31
58,华中农业大学,1.0,6.0,-5,0,0,1.0,21
59,中央财经大学,0.0,10.0,-13,0,0,0.0,27
60,长安大学二队,0.0,9.0,-13,0,0,0.0,56
